"Cluster1","Cluster2",Distance,Size
"4","19",5.0512,2
"11","20",5.89625,2
"7","15",6.10726,2
"3","5",6.20885,2
"10","12",6.44903,2
"8","23",8.01882,2
"21","24",9.02522,2
"(11, 20)","(7, 15)",9.06803,2
"(4, 19)","(10, 12)",12.2035,2
"6","16",12.379,2
"9","(21, 24)",12.6742,2
"((11, 20), (7, 15))","((4, 19), (10, 12))",14.1595,2
"2","22",14.2641,2
"(3, 5)","(9, (21, 24))",15.9503,2
"13","14",17.9416,2
"(6, 16)","(2, 22)",21.1136,2
"1","((3, 5), (9, (21, 24)))",22.0306,2
"(((11, 20), (7, 15)), ((4, 19), (10, 12)))","(13, 14)",24.1209,2
"17","((6, 16), (2, 22))",32.2497,2
"(1, ((3, 5), (9, (21, 24))))","((((11, 20), (7, 15)), ((4, 19), (10, 12))), (13, 14))",42.4489,2
"18","(17, ((6, 16), (2, 22)))",46.1234,2
"(8, 23)","((1, ((3, 5), (9, (21, 24)))), ((((11, 20), (7, 15)), ((4, 19), (10, 12))), (13, 14)))",49.38,2
"(18, (17, ((6, 16), (2, 22))))","((8, 23), ((1, ((3, 5), (9, (21, 24)))), ((((11, 20), (7, 15)), ((4, 19), (10, 12))), (13, 14))))",67.955,2
