"Cluster1","Cluster2",Distance,Size
"4","19",5.0512,2
"11","20",5.89625,2
"7","15",6.10726,2
"3","5",6.20885,2
"(11, 20)","(7, 15)",6.36347,2
"10","12",6.44903,2
"(4, 19)","(10, 12)",6.54937,2
"24","((4, 19), (10, 12))",7.83385,2
"8","23",8.01882,2
"21","(3, 5)",8.042,2
"((11, 20), (7, 15))","(24, ((4, 19), (10, 12)))",8.50002,2
"(21, (3, 5))","(((11, 20), (7, 15)), (24, ((4, 19), (10, 12))))",9.02522,2
"9","((21, (3, 5)), (((11, 20), (7, 15)), (24, ((4, 19), (10, 12)))))",10.9382,2
"6","16",12.379,2
"13","(9, ((21, (3, 5)), (((11, 20), (7, 15)), (24, ((4, 19), (10, 12))))))",12.7572,2
"22","(13, (9, ((21, (3, 5)), (((11, 20), (7, 15)), (24, ((4, 19), (10, 12)))))))",13.9736,2
"(8, 23)","(22, (13, (9, ((21, (3, 5)), (((11, 20), (7, 15)), (24, ((4, 19), (10, 12))))))))",13.9856,2
"2","((8, 23), (22, (13, (9, ((21, (3, 5)), (((11, 20), (7, 15)), (24, ((4, 19), (10, 12)))))))))",14.2641,2
"(6, 16)","(2, ((8, 23), (22, (13, (9, ((21, (3, 5)), (((11, 20), (7, 15)), (24, ((4, 19), (10, 12))))))))))",14.3327,2
"1","((6, 16), (2, ((8, 23), (22, (13, (9, ((21, (3, 5)), (((11, 20), (7, 15)), (24, ((4, 19), (10, 12)))))))))))",14.5631,2
"14","(1, ((6, 16), (2, ((8, 23), (22, (13, (9, ((21, (3, 5)), (((11, 20), (7, 15)), (24, ((4, 19), (10, 12))))))))))))",16.3652,2
"17","(14, (1, ((6, 16), (2, ((8, 23), (22, (13, (9, ((21, (3, 5)), (((11, 20), (7, 15)), (24, ((4, 19), (10, 12)))))))))))))",19.1563,2
"18","(17, (14, (1, ((6, 16), (2, ((8, 23), (22, (13, (9, ((21, (3, 5)), (((11, 20), (7, 15)), (24, ((4, 19), (10, 12))))))))))))))",23.6036,2
